Row,Col
228,228
228,1124
228,1252
229,229
229,1125
229,1253
230,230
230,1126
230,1254
231,231
231,1127
231,1255
232,232
232,1128
232,1256
233,233
233,1129
233,1257
234,234
234,1130
234,1258
235,235
235,1131
235,1259
236,236
236,1132
236,1260
237,237
237,1133
237,1261
238,238
238,1134
238,1262
239,239
239,1135
239,1263
240,240
240,1136
240,1264
241,241
241,1137
241,1265
242,242
242,1138
242,1266
243,243
243,1139
243,1267
244,244
244,1140
244,1268
245,245
245,1141
245,1269
246,246
246,1142
246,1270
247,247
247,1143
247,1271
248,248
248,1144
248,1272
249,249
249,1145
249,1273
250,250
250,1146
250,1274
251,251
251,1147
251,1275
252,252
252,1148
252,1276
253,253
253,1149
253,1277
254,254
254,1150
254,1278
255,255
255,1151
255,1279
256,256
256,1152
256,1280
257,257
257,1153
257,1281
258,258
258,1154
258,1282
259,259
259,1155
259,1283
260,260
260,1156
260,1284
261,261
261,1157
261,1285
262,262
262,1158
262,1286
263,263
263,1159
263,1287
264,264
264,1160
264,1288
265,265
265,1161
265,1289
266,266
266,1162
266,1290
267,267
267,1163
267,1291
268,268
268,1164
268,1292
269,269
269,1165
269,1293
270,270
270,1166
270,1294
271,271
271,1167
271,1295
272,272
272,1168
272,1296
273,273
273,1169
273,1297
274,274
274,1170
274,1298
275,275
275,1171
275,1299
276,276
276,1172
276,1300
277,277
277,1173
277,1301
278,278
278,1174
278,1302
279,279
279,1175
279,1303
280,280
280,1176
280,1304
281,281
281,1177
281,1305
282,282
282,1178
282,1306
283,283
283,1179
283,1307
284,284
284,1180
284,1308
285,285
285,1181
285,1309
286,286
286,1182
286,1310
287,287
287,1183
287,1311
288,288
288,1184
288,1312
289,289
289,1185
289,1313
290,290
290,1186
290,1314
291,291
291,1187
291,1315
292,292
292,1188
292,1316
293,293
293,1189
293,1317
294,294
294,1190
294,1318
295,295
295,1191
295,1319
296,296
296,1192
296,1320
297,297
297,1193
297,1321
298,298
298,1194
298,1322
299,299
299,1195
299,1323
300,300
300,1196
300,1324
301,301
301,1197
301,1325
302,302
302,1198
302,1326
303,303
303,1199
303,1327
304,304
304,1200
304,1328
305,305
305,1201
305,1329
306,306
306,1202
306,1330
307,307
307,1203
307,1331
308,308
308,1204
308,1332
309,309
309,1205
309,1333
310,310
310,1206
310,1334
311,311
311,1207
311,1335
312,312
312,1208
312,1336
313,313
313,1209
313,1337
314,314
314,1210
314,1338
315,315
315,1211
315,1339
316,316
316,1212
316,1340
317,317
317,1213
317,1341
318,318
318,1214
318,1342
319,319
319,1215
319,1343
320,320
320,1216
320,1344
321,321
321,1217
321,1345
322,322
322,1218
322,1346
323,323
323,1219
323,1347
324,324
324,1220
324,1348
325,325
325,1221
325,1349
326,326
326,1222
326,1350
327,327
327,1223
327,1351
328,328
328,1224
328,1352
329,329
329,1225
329,1353
330,330
330,1226
330,1354
331,331
331,1227
331,1355
332,332
332,1228
332,1356
333,333
333,1229
333,1357
334,334
334,1230
334,1358
335,335
335,1231
335,1359
336,336
336,1232
336,1360
337,337
337,1233
337,1361
338,338
338,1234
338,1362
339,339
339,1235
339,1363
340,340
340,1236
340,1364
341,341
341,1237
341,1365
342,342
342,1238
342,1366
343,343
343,1239
343,1367
344,344
344,1240
344,1368
345,345
345,1241
345,1369
346,346
346,1242
346,1370
347,347
347,1243
347,1371
348,348
348,1244
348,1372
349,349
349,1245
349,1373
350,350
350,1246
350,1374
351,351
351,1247
351,1375
352,352
352,1248
352,1376
353,353
353,1249
353,1377
354,354
354,1250
354,1378
355,355
355,1251
355,1379
356,356
356,1252
356,1380
357,357
357,1253
357,1381
358,358
358,1254
358,1382
359,359
359,1255
359,1383
360,360
360,1256
360,1384
